Lyrics (Verse),Song Title
"We like fast cars, fast money, fast life, fast broads
Egotistic, goin' ballistic, why God?
Born warrior, lookin' for euphoria
But I don't see it, I don't feel it, I'm paraplegic
Tapped in when I'm maxed in Comp-Town with the MAC-10s
And the pumps in the background I was absent
Never OG, standout, I was lackin'
Everything else, but doubt in the Magnum
Holdin' Magnums with a Magnum
Nigga, ad-lib and I sing out loud
Never had friends, never had ends, never had hope
They was like, ""Nope,"" I was like, ""Bùyào, bùyào""
(Yeah, God)
Tee off the day, know we off the, be off the, eat off your plate
Throw me off, I be, ""Off ya head""
Well ate, on C4, I'm way off the edge
Fuck integrity, fuck your pedigree, fuck your feelings, fuck your culture
Fuck your moral, fuck your family, fuck your tribe
Fuck your land, fuck your children, fuck your wives
Who am I? Not your father, not your brother
Not your reason, not your future
Not your comfort, not your reverence, not your glory
Not your heaven, not your angel, not your spirit
Not your message, not your freedom
Not your people, not your neighbor
Not your baby, not your equal
Not the title y'all want me under
All hail King Killmonger",King's Dead
"To the meaning of life, what's my purpose?
Maybe this Earth is ain't a good place to be
How far is heaven? Let's see
Is it in the clouds like they said it would be?
I wonder when I die will he give me receipts?
I wonder will the eyes of the Lord look at me?
Look at me, look at me, I'm a loser, I'm a winner
I'm good, I'm bad, I'm a Christian, I'm a sinner
I'm humble, I'm loud, I'm righteous, I'm a killer
What I'm doing? I'm saying that I'm human, now people just",Kush & Corinthians (His Pain)
"Ayy, I got somethin'
Hol' up, we gon' function, ayy, no assumptions, ayy
Feelin' like Tyson with it
Knock it out twice, I’m with it
Only for the night, I’m kiddin'
Only for life, yeah, homie for life, yeah
Only for life, let’s get it
Hit that shoulder lean
I know what comin' over me
Backstroke oversea
I know what you need
Already on ten, all money come in
All feeling go out, this feeling don't drought
This party won't end",Love.
"Kung Fu Kenny now
My resume is real enough for two millennium
A better way to make a wave, stop defendin' them
I meditate and moderate all of my wins again
I'm hangin' on the fence again
I'm always on your mind
I put my lyric and my lifeline on the line
And ain't no limit when I might shine, might grind
You rollin' with it at the right time, right now
(Only for the dollar sign)",Loyalty.
"Wake up in the mornin', thinkin' 'bout money, kick your feet up
Watch you a comedy, take a shit, then roll some weed up
Go hit you a lick, go fuck on a bitch
Don't go to work today, cop you a fit
Or maybe some kicks and make you—",Lust.
"Brace yourself, I'll take you on a trip down memory lane
This is not a rap on how I'm slingin' crack or move cocaine
This is cul-de-sac and plenty Cognac and major pain
Not the drill sergeant, but the stress that weighin' on your brain
It was me, L Boog, and Yan Yan, YG Lucky ride down Rosecrans
It got ugly, wavin' yo' hand out the window – check yourself!
Uh, Warriors and Conans, hope euphoria can slow dance
With society, the driver seat the first one to get killed
Seen a light-skinned nigga with his brains blown out
At the same burger stand where **** hang out
Now this is not a tape recorder sayin' that he did it
But ever since that day, I was lookin' at him different
That was back when I was nine, Joey packed the nine
Pakistan on every porch is fine, we adapt to crime
Pack a van with four guns at a time
With the sliding door, fuck is up?
Fuck you shootin' for if you ain't walkin' up, you fuckin' punk?
Pickin' up the fuckin' pump, pickin' off you suckers
Suck a dick or die or sucker punch
A wall of bullets comin' from AK's, AR's, ""Ayy, y'all—duck!""
That's what Momma said when we was eatin' that free lunch
Aw man, goddamn, all hell broke loose
You killed my cousin back in '94, fuck yo' truce!
Now crawl your head in that noose
You wind up dead on the news
Ain't no peace treaty, just piecin' BGs up to pre-approve
Bodies on top of bodies, IVs on top of IVs
Obviously the coroner between the sheets like the Isleys
When you hop on that trolley, make sure your color's correct
Make sure you're corporate or they'll be callin' your mother collect
They say the governor collect all of our taxes, except
When we in traffic and tragic happens, that shit ain't no threat
You movin' backwards if you suggest that you sleep with a TEC
Go buy a chopper and have a doctor on speed dial, I guess
​m.A.A.d. city",M.A.A.D City
"The pressure's taking over me, it's beginning to loom
Better if I spare your feelings and tell you the truth
Lately, I redirected my point of view
You won't grow waitin' on me
I can't live in the Matrix, huh
Rather fall short of your graces, huh
This time, I won't trade places, huh
Not about who's right, who's wrong, huh
Evolve, the only thing known, huh
Ask me when I'm coming home, huh
Blink twice again, I'm gone",Mirror
"This feelin' is unmatched
This feelin' is brought to you by adrenaline and good rap
Black Pendleton ball cap (West, west, west)
We don't share the same synonym, fall back (West, west, west)
Been in it before internet had new acts
Mimicking radio's nemesis made me wack
My innocence limited, the experience lacked
Ten of us with no tentative tactic that cracked
The mind of a literate writer, but I did it, in fact
You admitted it once I submitted it, wrapped in plastic
Remember scribblin', scratchin' diligent sentences backwards
Visiting freestyle cyphers for your reaction
Now, I can live in a stadium, pack it the fastest
Gamblin' Benjamin benefits, sinnin' in traffic
Spinnin' women in cartwheels, linen fabric on fashion
Winnin' in every decision, Kendrick is master that mastered it
Isn't it lovely how menaces turned attraction?
Pivotin' rappers, finish your fraction while writing blue magic
Thank God for rap
I would say it got me a plaque, but what's better than that?
The fact it brought me back home",Momma
"Uh, me and my niggas tryna get it, ya bish (Ya bish)
Hit the house lick: tell me, is you wit' it, ya bish? (Ya bish)
Home invasion was persuasive (Was persuasive)
From nine to five I know it's vacant, ya bish (Ya bish)
Dreams of livin' life like rappers do (Like rappers do)
Back when condom wrappers wasn't cool (They wasn't cool)
I fucked Sherane and went to tell my bros (Tell my bros)
Then Usher Raymond ""Let It Burn"" came on (""Let Burn"" came on)
Hot sauce all in our Top Ramen, ya bish (Ya bish)
Park the car, then we start rhymin', ya bish (Ya bish)
The only thing we had to free our mind (Free our mind)
Then freeze that verse when we see dollar signs (See dollar signs)
You lookin' like a easy come-up, ya bish (Ya bish)
A silver spoon, I know you come from, ya bish (Ya bish)
And that's a lifestyle that we never knew (We never knew)
Go at a reverend for the revenue",Money Trees
"Do you believe in me? Are you deceiving me?
Could I let you down easily, is your heart where it need to be?
Is your smile on permanent? Is your vow on lifetime?
Would you know where the sermon is if I died in this next line?
If I'm tried in a court of law, if the industry cut me off
If the government want me dead, plant cocaine in my car
Would you judge me a drug-head or see me as K. Lamar?
Or question my character and degrade me on every blog?
Want you to love me like Nelson, want you to hug me like Nelson
I freed you from being a slave in your mind, you're very welcome
You tell me my song is more than a song, it's surely a blessing
But a prophet ain't a prophet 'til they ask you this question:",Mortal Man
"I'm sensitive, I feel everything, I feel everybody
One man standin' on two words, heal everybody
Transformation, then reciprocation, karma must return
Heal myself, secrets that I hide, buried in these words
Death threats, ego must die, but I let it purge
Pacify, broken pieces of me, it was all a blur
Mother cried, put they hands on her, it was family ties
I heard it all, I should've grabbed a gun, but I was only five
I still feel it weighin' on my heart, my first tough decision
In the shadows clingin' to my soul as my only critic
Where's my faith? Told you I was Christian, but just not today
I transformed, prayin' to the trees, God is taking shape
My mother's mother followed me for years in her afterlife
Starin' at me on back of some buses, I wake up at night
Loved her dearly, traded in my tears for a Range Rover
Transformation, you ain't felt grief 'til you felt it sober",Mother I Sober
"Enoch, your father's just detoxed, my callin' is right on time
Transformation, I must had a thousand lives
And like three thousand wives
You should know that I'm slightly off
Fightin' off demons that been outside
Better known as myself, I'm a demigod
Every thought is creative, sometimes, I'm afraid of my open mind",Mr. Morale
"Take off the foo-foo, take off the clout chase, take off the Wi-Fi
Take off the money phone, take off the car loan, take off the flex and the white lies
Take off the weird-ass jewelry, I'ma take ten steps, then I'm taking off top five
Take off them fabricated streams and them microwave memes, it's a real world outside (Take that shit off)
Take off your idols, take off the runway, I take off to Cairo (Take that shit off)
Take off to Saint-Tropez, five-day stay, take a quarter mill', hell, if I know (Take that shit off)
Take off the front flag, take off perception, take off the cop with the eye patch (Take that shit off)
Take off the unloyal, take off the unsure, take off decisions I lack (Take it off)
Take off the fake deep, take off the fake woke, take off the, ""I'm broke, I care"" (Take it off)
Take off the gossip, take off the new logic that if I'm rich, I'm rare (Take it off)
Take off the Chanel, take off the Dolce, take off the Birkin bag
(Take it off)
Take all that designer bullshit off, and what do you have?",N95
"I know she 'bout to ask me how she look
I tell her beautiful and how long it took
For you to put it on, it was early in the morn'
She resembled a model out of a MAC book
Concentrating on the way the eyeliner thickens
I stand behind her and try to figure her vision
Of prettiness, the wittiness of colors on her skin tone
Her complexion in a direction I've outgrown
Damn girl, why so much?
You 'bout to blow your cover when you cover up
Don't you know your imperfections is a wonderful blessing?
From Heaven is where you got it from
I love your smile, you can do it without style
From your lips all the way to your eyebrows
It's the beauty in her, but when the makeup occur
I don't see it, all I see is a blur",No Make-Up (Her Vice)
"I used to want to see the penitentiary way after elementary
Thought it was cool to look the judge in the face when he sentenced me
Since my uncles was institutionalized
My intuition had said I was suited for family ties
My mama is stressin', my daddy tired
I need me a weapon, these niggas ride
Every minute, hour, and second, ministers tried to save me
How I'm gon' listen when I don't even hear God?
Heaven or hell, base it all on my instincts
My hands dirty, you worried 'bout mud in your sink
You like to mistake a street nigga for real nigga
The same nigga that kill with you'll squeal with you
I deal with you like my son, stare at the sun
And you'll be looking in my eyes, homie
Stand for something or fall for anything
And you working with two left feet at the skating rink
But anyway, this for my niggas
Uncles, twenty-three hours, sendin' me pictures
I want you to know that I'm so determined to blow
That you hear the music I wrote, hope it get you off death row
You came home to a pocket full of stones
A Metro PC phone, then you went back in
So when I touch the pen, the pen is in my view
I'ma get it right, just so you",Poe Mans Dreams (His Vice)
"I recognize your fragrance, hol' up, you ain't never gotta say shit, uh
And I know your taste is a little bit, mmm, high maintenance, uh
Everybody else basic, you live life on an everyday basis
With poetic justice, poetic justice
If I told you that a flower bloomed in a dark room, would you trust it?
I mean, I write poems in these songs dedicated to you when
You're in the mood for empathy, there's blood in my pen
Better yet, where your friends and 'em? I really wanna know you all
I really wanna show you off, fuck that, pour up plenty
Of champagne, cold nights when you curse this name
You called up your girlfriends and y'all curled in that little bitty Range, I heard that
She wanna go and party, she wanna go and party
Nigga, don't approach her with that Atari, nigga, that ain't good game, homie, sorry
They say conversation rule a nation, I can tell
But I could never right my wrongs 'less I write it down for real, PS",Poetic Justice
"I fight the world, I fight you, I fight myself
I fight God, just tell me how many burdens left
I fight pain and hurricanes, today I wept
I'm tryna fight back tears, flood on my doorsteps
Life a livin' hell, puddles of blood in the streets
Shooters on top of the building, government aid ain't relief
Earthquake, the body dropped, the ground breaks
The poor run with smoke lungs and Scarface
Who need a hero? (Hero)
You need a hero, look in the mirror, there go your hero
Who on the front lines at ground zero? (Hero)
My heart don't skip a beat, even when hard times bumps the needle
Mass destruction and mass corruption, the souls of sufferin' men
Clutchin' on deaf ears again, rapture is comin'
It's all prophecy and if I gotta be
Sacrificed for the greater good then that's what it gotta be",Pray for Me
"Hell-raising, wheel-chasing, new worldly possessions
Flesh-making, spirit-breaking, which one would you lessen?
The better part, the human heart, you love ’em or dissect 'em
Happiness or flashiness? How do you serve the question?
See, in a perfect world, I would be perfect, world
I don't trust people enough beyond they surface, world
I don't love people enough to put my faith in man
I put my faith in these lyrics, hoping I make a band
I understand I ain't perfect, I probably won't come around
This time I might put you down
Last time I ain't give a fuck, I still feel the same now
My feelings might go numb, you're dealing with cold thumb
I’m willing to give up a leg and arm to show empathy from
Pity parties and functions of you and yours
A perfect world, you probably live another 24
I can’t fake humble just 'cause your ass is insecure
I can’t fake humble just 'cause your ass is insecure",Pride.
"This my undisputed truth, uh-huh
My life is like forbidden fruit, my bitch know better than I do
A woman's worth, I barely went to church, I'd rather fast with you
Than fuck it up, fucking with skirts 'cause I'm rational
A nigga still gon' be a nigga, emoji heart, my family pictures
Two-steppin' away from rappers, I don't trust their true intеntions
I'm not in the music business, I been in the human businеss
Whole life been social distant, hoes like when you not trippin'
I duck the party, who said they saw me?
Crown on Bob Marley, wrist on Yo Gotti
They gon' judge yo’ life for a couple likes on the double tap
Them hoes is sorry, they all get bodied
I bless it that you have an open heart, I bless that you forgive
I bless it that you can learn from a loss, I bless it that you heal
I bless one day that you attract somebody with your mind exact
A patient life, flaws, bless 'em twice, and they'll bless you back",Purple Hearts
"I promise that I know you very well
Your eyes never lie, even if they tell
Sweet lullabies that come with a smell
Of a dozen roses flipping down the green hill
You're living in a world that come with plan B
Cause plan A never relay a guarantee
And plan C never could say just what it was
And your plans only can pan around love
You love him, you love them, you love her
You love so much, you love when love hurts
You love red bottom and gold that say ""Queen""
You love hand-bag on the waist of your jean
You love French tip and trip that pay for
You love bank slip that tell you we paid more
You love a good hand whenever the card dealt
But what love got to do with it when you don't love yourself?",Real
"I learned in trappin', in the business
Smart people makin' horrible decisions, you know?
Rich nigga, gettin' my dick sucked after the show
I ain't gon' lie, we were poor
A bunch of lost souls in survival mode
It wasn't no way for us unless we found our own
Runnin' in stores, kickin' in doors, nigga, give me my glory
Nigga play with me, he ain't gon' live to tell the story
You know, this the type of shit we glorify, everybody gang-gang
Most of the people that you grew up with are now in the chain gang
In the box, gettin' pink
Niggas shittin' where you sleep
Niggas shittin' whеre you eat
Who'da evеr knew that I'd become a fuckin' Kodak? Yeah
Rap money good, but I'm still pumpin' gas through the hood
Droppin' off plates to the fam' like Thanksgivin'
Got the baby snipers standin' on that murk business, yeah, slidin' for Yak
They ready for whatever
I always knew that everything would get better
And it sho' got greater later
All the game came from the elders like hand-me-downs
Me and my brothers wearin' hand-me-downs
Now I'm givin' game back to the old heads
And the respect come first, yeah, you know?
Can't be better than the OGs, you gotta get it somewhere
Gotta come from somethin', God don't come from nothin'
We ain't seen this comin', nigga, it's more than a blessin'
What you doing with Kendrick? (Ooh, ooh)
What you doing with a legend? (Ooh, ooh)
So what they call you? (Ooh, ooh)
When it's all said and done, we ain't leavin' empty-handed (Ooh, ooh)
That's on gang (Ooh, ooh)
That's on Ma' Dukes (Ooh, ooh)
Poorer than that bitch but she fall through (Ooh, ooh)
Makin' ends meet (Ooh, ooh), daddy deadbeat (Ooh, ooh)
Had to steal for a meal or you can't eat, you know? (Ooh, ooh)
Poverty (Ooh, ooh)
Red Cross, food banks, W.I.C. (Ooh, ooh)
Now look at this shit, we own property",Rich (Interlude)
"Takin' my baby to school, then I pray for her
'Cause you bitches ain't never been cool, writin' testament
Paintin' pictures, put me in the Louvre, that's a definite
Universal shift, I'm in a groove
And celebrity do not mean integrity, you fool
I'm a good man, shake your hand, firm grip rule
Seventy-two wins, lost ten, ballin' with the flu
More than two M's for a show, but add another two
Hmm, lil' Man-Man, the big mans
The GT Dyno flippin' the kickstand, ooh",Rich Spirit
"And this is rigor mortis and it's gorgeous when you die
Ali recorded and I'm Morpheus, the matrix of my mind
I'm out the orbit, you an orphan and a hairdresser combined
I'm on the toilet when I rhyme, if you the shit, then I decline
I climax where you begin and then I end on cloud nine
And that's important when you morph into an angel in the sky
And don't be forging all my signatures, my listeners reply
And tell me that you biting style, you got a hell of an appetite
And I'ma be here for a while, just buckle up before the ride
Or knuckle up if you can fight, we always making 'em duck or die
A suit and tie is suitable and usual in suicide
CSI just might investigate this fucking parasite
(He dead, amen)
That's what they telling me
Aim it at your celebrity, this is studio felony
Ferragami so many and cool enough for the '70s
Nigga, payback's a bitch, and bitch, you been livin' in debt with me
Dead 'em all and especially
Leave a call on his mother voicemail that say that he rest in peace
Bigger chopper the recipe
Wrestling? That's irrelevant, rather rest at your residence
Whistling to the melody, couldn't think of a better D
Better be on your P and Q, it's just me, Jay Rock, Soul, and Q
Solar system and barbecue, nothing else you can do",Rigamortis
"Welcome to vigilante, '80s, so don't you ask me
I'm hungry, my body's antsy, I rip through your fuckin' pantry
Peelin' off like a Xanny, examine my orchestra
Granny said when I'm old enough, I'll be sure to be all I can be
You niggas Marcus Camby, washed up
Pussy, fix your panties, I'm Mr. Marcus, you gettin' fucked, uh
You ain't heard nothin' harder since Daddy Kane
Take it in vain, Vicodins couldn't ease the pain
Lightning bolts hit your body, you thought it rained
Not a cloud in sight, just the shit that I write
Strong enough to stand in front of a travelin' freight train, are you trained?
To go against Dracula, draggin' the record industry by my fangs
AK clips, money clips, and gold chains
You walk around with a P90 like it's the '90s
Bullet to your temple, your homicide'll remind me",Ronald Reagan Era (His Evils)
"Mr. Morale, give me high-five
Two times center codefendant judging my life
Back pedaler, what they say? You do the cha-cha
I'ma stand on it, 6'5"" from 5'5""
Fun fact, I ain't taking shit back
Like it when they pro-Black, but I'm more Kodak Black
Tell me where the monеy at, ayy, where the homiеs at?
Universal callout, I can members only that, ayy
Si-si, wait a minute
Ven aquí (Ven aquí), c'est la vie (C'est la vie)
I tell the whole truth from A to Z, ayy
Show me you real, show me that you bleed, ayy
Hello? Crackers? (Let me hear that back)
I seen niggas arguing about who's blacker
Even blacked out screens and called it solidarity (Fuck, fuck, fuck, fuck)
Meditating in silence made you wanna tell on me (Fuck)",Savior
"You ever seen your mama strung out while you studied division?
Your uncle ever stole from you, day after Christmas?
Seen both of those in the county jail visits
The first and the fifteenth, the only religion
Noodles in the microwave, shark tank tidal wave
Grandma shootin' niggas, blood on the highway
Crossеs on the dashboard, you just want a platform
I wanna take evеrything that I ask for
Catch me a body, I'll put that on anybody but my mama
She showin' a pattern for certain
I think it's white panties and minimal condoms
My uncle would tell me the shit in the movies could only be magic
This year, I did forty-three shows and took it all home to buy him a casket
Jack of all trades, got money out the way
Put my heart in the faith, I'm good, love
Cousin in the courts, heard he jumped off the porch
Turn a brick to a Porsche, I'm good, love
Catch us, you know I'm gon' rack up
I need the advance and the equity to match up
The engineer dead if the drive don't back up
These words come of God, you could never outrap us
Nowadays, gotta walk cautious, ayy
Nowadays, I'm a new prophet, ayy
Game dead, no autopsy, ayy
City girl with they new hobby, ayy
Catch a body, put the Prada in the ta-da
Nigga 'boutta get some pussy, give me five (Give me five)
Gun dirty, got the thirty in the purse, purse
Tight bitch, put a perky in her salad
I gotta pray for the basic
I never seen my niggas bust down faces
Them niggas not tasteless
I only had one chance, I ain't even waste it
Been down on my luck
Been down on my luck when I fa-a-all
I gotta get up
I gotta get back up and ba-a-a-all
R-I-P, under my people
I'm proud of my people, I'm proud of my dawgs
My ex got a beamer, she want me to see it
I still ain't gon' see it, like, okay
I love when they ratchet, I don't do her Patek
I still do the watches the old way
She think I'm conceited, I'm thinkin' 'bout cheatin'
I don't do the flowers or roleplay
Now, how can I fold lookin' at twenty million
This money don't come with a probate
Mama, I said it'd be okay",Saviour (Interlude)
"I met her at this house party on El Segundo and Central
She had the credentials of strippers in Atlanta
Ass came with a hump, from the jump she was a camel
I want to ride like Arabians, push an '04 Mercedes-Benz
""Hello, my name is Kendrick,"" she said, ""No, you're handsome""
Whispered in my ear, disappeared, then found her dancin'
Ciara had played in the background
The parade music we made had us all wearin' shades now, cool
""Where you stay?"" She said, ""Down the street from Dominguez High""
Okay, I know that's borderline Compton or Paramount
""Well, is it Compton?"" ""No,"" she replied
Then quickly start battin' her eyes
I strictly had wanted her thighs around me
Seventeen with nothin' but pussy stuck on my mental
My motive was rather sinful, ""What you tryna get into?""
She didn't tell, just gave me her Nextel
Dropped the number, we chirped the whole summer, and, well
The summer had passed, and now I'm likin' her
Conversation we havin' probably enticin' her
Who can imagine? Maybe my actions'll end up wifin' her
Love or lust, regardless, we'll fuck 'cause the trife in us
It's deep-rooted, the music of bein' young and dumb
Is never muted, in fact, it's much louder where I'm from
We know a lot 'bout each other, her mother was a crack addict
She live with her granny and her younger two brothers
Her favorite cousin Demetrius is irrepetible
Family history of gangbangin' did make me skeptical
But not enough to stop me from gettin' a nut
""I wanna come over, what's up?""
That's what I told her soon as this episode
Of Martin go off, I'm tryna get off
I was in heat like a cactus
My tactics of bein' thirsty probably could hurt me
But fuck it, I got some heart
Grabbed my mama keys, hopped in the car, then, oh boy
So now I'm down Rosecrans in a Caravan
Passin' Alameda, my gas meter in need of a pump
I got enough to get me through the traffic jam
At least I hope, 'cause my pockets broke as a promise, man
I'm thinkin' 'bout that sex
Thinkin' 'bout her thighs or maybe kissin' on her neck or maybe what position's next
Sent a picture of her titties, blowin' up my texts
I looked at 'em and almost ran my front bumper into Corvette
Enthused by the touch of a woman, she's a masseuse
And I'm a professional pornstar when off the Goose
I had a fifth in the trunk like Curtis Jackson for ransom
I'm hopin' to get her loose like an Uncle Luke anthem
I'm two blocks away, two hundred and fifty feet
And six steps from where she stay, she wavin' me 'cross the street
I pulled up, a smile on my face, and then I see
Two niggas, two black hoodies, I froze as my phone rang",Sherane A.K.A Master Splinter's Daughter
"Aha, I be immune to shit (Aha)
Tucking the broom and shit (Aha)
They want to assume and shit (Aha)
Know you a choke, my ancestor close
I howl at the moon and shit (Aha)
Know the rеsults, the ballot is in, man, I'm 'bout to boom again (Aha)
You funny, dawg
Peek-a-boo, can't hide behind your monеy, dawg
A week or two, I meditate on runnin' lost
Swerve, swerve, swerve, shake the currents off, yeah",Silent Hill
"I woke up this morning and figured I'd call you
In case I'm not here tomorrow
I'm hopin' that I can borrow
A peace of mind, I'm behind on what's really important
My mind is really distorted
I find nothing but trouble in my life
I'm fortunate you believe in a dream
This orphanage we call a ghetto is quite a routine
And last night was just another distraction
Or a reaction of what we consider madness
I know exactly what happened
You ran outside when you heard my brother cry for help
Held him like a newborn baby and made him feel
Like everything was alright in a fight he tried to put up
But the type of bullet that stuck
Had went against his will, that's blood spilled on your hands
My plan's rather vindictive
Everybody's a victim in my eyes
When I ride it's a murderous rhythm
And outside became pitch black
A demon glued to my back, whispering ""Get 'em!""
I got 'em and I ain't give a fuck
That same mentality I told my brother not to duck
In actuality it's a trip how we trip off of colors
I wonder if I'll ever discover a passion like you and recover
The life that I knew as a youngin
In pajamas and dun-ta-duns
When thunder comes it rains cats and dogs dumb
Niggas like me never prosper
Prognosis of a problem child, I'm proud and well-devoted
This Piru shit been in me forever
So forever I'ma push it, wherever, whenever
And I love you 'cause you love my brother like you did
Just promise me you'll tell this story when you make it big
And if I die before your album drop, I hope— [Gunshots]","Sing About Me, I'm Dying of Thirst"
"Everything I do is too alumni
I'ma take my time, I'ma master it
You should be mindful of a mastermind
Put a landmine right where your momma live
Now blow up, blow up, hold up, I ain't seen your kind before
See me as a dollar sign 'til I resign or you report
That I done you wrong, and I mean you know my home endeavors
Nigga right now, it's now or never
Nigga right now, I'm high as ever, but however...",The Spiteful Chant
"Now, I done grew up round some people livin' their life in bottles
Granddaddy had the golden flask, backstroke every day in Chicago
Some people like the way it feel, some people wanna kill their sorrow
Some people wanna fit in with the popular, that was my problem
I was in a dark room, loud tunes, lookin' to make a vow soon
That I'ma get fucked up, fillin' up my cup I see the crowd mood
Changin' by the minute and the record on repeat
Took a sip, then another sip, then somebody said to me",Swimming Pools (Drank)
"I know this girl, she a real good girl and she be low-key
Looking like a star with a real nice car, a Mercedes key
And she got a nigga and she love this nigga, well, at least I think
Every time we bark, she pay us no mind in the middle of the street
She be like",Tammy's Song (Her Evils)
"She just want to close her eyes and sway
With you, with you, with you (Ah, come on)
Exercise her right to work it out
It's true, it's true, it's true
Shout out to the birthday girls
Say hey (Hey), say hey (Hey), (Ah, girl)
Everyone deserves a night to play (Play)
She plays, only when you tell her no",These Walls
"I place blame on you still, place shame on you still
Feel like you ain't shit, feel like you don't feel
Confidence in yourself, breakin' on marble floors
Watchin' anonymous strangers, tellin' me that I'm yours
But you ain't shit, I'm convinced your tolerance nothin' special
What can I blame you for? Nigga, I can name several
Situations, I'll start with your little sister bakin'
A baby inside, just a teenager, where your patience?
Where was your antennas?
Where was the influence you speak of?
You preached in front of one-hunnid-thousand but never reached her
I fuckin' tell you fuckin' failure—you ain't no leader!
I never liked you, forever despise you—I don't need ya!
The world don't need ya, don't let them deceive ya
Numbers lie too, fuck your pride too, that's for dedication
Thought money would change you, made you more complacent
Fuckin' hate you, I hope you embrace it, I swear—",U
"What is a bitch in a miniskirt?
A man in his feelings with bitter nerve
What is a woman that really hurt?
A demon, you're better off killing her
What is a relative making repetitive narratives
On how you did it first?
That is a predator, hit reverse
All of your presidents' evil thirst
What is a neighborhood rep'table?
That is a snitch on a pedestal
What is a house with a better view?
A family broken in variables
What is a rapper with jewelry?
A way that I show my maturity
What if I call on security?
That mean I'm calling on God for purity
I went and got me a therapist
I can debate on my theories and sharing it (Woah)
Consolidate all my comparisons
Humblin' up because time was imperative (Woah)
Started to feel like it's only one answer
To everything, I don't know where it is (Woah)
Popping a bottle of Claritin (Woah)
Is it my head or my arrogance? (Woah)
Shaking and moving, like, what am I doing?
I'm flipping my time through the Rolodex
Indulging myself and my life and my music
The world that I'm in is a cul-de-sac
The world that we in is just menacing
The demons portrayed as religionous
I wake in the morning, another appointment
I hope the psychologist listenin'",United in Grief
"I seen it vividly, jogging my brain memory, life no—
I seen it vividly, jogging my brain memory
Life no longer infinity, this was the final calling
No birds chirping or flying, no dogs barking
We all nervous and crying, moving in caution
In disbeliefs our belief's the reason for all this
The tallest building plummet, cracking, and crumbling
The ground is shaking, swallowing young woman
With a baby, daisies, and other flowers burning in destruction
The smell is disgusting, the heat is unbearable
Preachers touching on boys run for cover, the paranoid
Rapists and murderers hurdle alleys
Valleys and high places turn into dust
Famous screaming in agony
Atheists for suicide, planes falling out the sky
Trains jumping off the track, mothers yelling ""he's alive""
Backpedaling Christians settling for forgiveness
Evidence all around us the town is covered in fishes
Ocean water dried out, fire burning more tides out
Tabernacle and city capital turned inside out
Public bathroom, college classroom's been deserted
Another trumpet has sounded off and everyone heard it
(It's happening) no more running from world wars
(It's happening) no more discriminating the poor
(It's happening) no more bad bitches and real niggas
Wishing for green and gold the last taste of allure
I swore I seen it vividly
A moniker of war from heaven that play the symphony
Thunder like number four, then I heard
""What have you did for me""
I fell to my knees, pulled out my resume
That dated back to June 17th, 1987
My paperwork was like a receipt
I was valedictorian, I was fearful of judgment
But confident I had glory in all my past endeavors
Close my eyes, pray to God that I live forever
Dark skies, fire and brimstone, some of us sent home
Some of us never did wrong but still went to hell
Geez Louise, I thought you said that I excel
I made To Pimp a Butterfly for you
Told me to use my vocals to save mankind for you
Say I didn't try for you, say I didn't ride for you
I tithed for you, I pushed the club to the side for you
Who love you like I love you?
Crucifix, tell me you can fix
Anytime I need, I'ma start jotting everything in my diary
Never would you lie to me
Always camaraderie, I can see, our days been numbered
Revelation greatest as we hearing the last trumpet
All man, child, woman, life completely went in reverse
I guess I'm running in place trying to make it to church",Untitled 01 | 08.19.2014.
"Tell the squad come home
We gon' ball again 'fore he call us home
World is going brazy, where did we go wrong?
It's a tidal wave, it's a thunderdome
Get God on the phone
I just got a raise (I just got a raise)
Spent it all on me (I spent it all on me)
Diamonds all appraised (Diamonds all appraised)
And I'm bossing up (And I'm bossing up)
Bitch, get out the way (Bitch, get out the way)
I'm the only way, we can fornicate
Ah, pimping and posing, look what I drove in, ah
Having these hoes and I know that I'm chosen, ah
I live by the code and me and my bros and, ah
My dollars ain't foldin', you was never the homie",Untitled 02 | 06.23.2014.
"(What did the Asian say?) ""A peace of mind""
That's what the Asian said—I need a divine
Intervention was his religion and I was surprised
Him believing in Buddha, me believing in God
Asked him what are you doing, he said ""taking my time""
Meditation is a must, it don't hurt if you try
See you thinking too much, plus you too full of yourself
Worried about your career, you ever think of your health?",Untitled 03 | 05.28.2013.
"They say the government mislead the youth, youth, youth, youth
(Tell 'em when you went to the park and everybody came back and...)
And welfare don't mean well for you, you, you, you
(What about when you tried to do a side for that but you...)
They tell me that my bill's past due, due, due, due
(Talk about the charge you got...)
And preacher man don't always tell the truth, truth, truth, truth
(Do you believe in God? If you don't, it's cool)",Untitled 04 | 08.14.2014.
